,innings,total_run,Venue,batter1,batter2,batter3,batter4,batter5,bowler1,bowler2,bowler3,bowler4
0,1,61,26,125,17,146,89,84,141,250,10,141
1,2,26,26,102,164,183,49,26,11,89,11,141
2,1,53,26,96,92,106,89,84,31,205,114,141
3,2,63,26,57,64,124,89,84,84,155,173,141
4,1,40,12,140,169,169,68,84,64,34,155,141
5,2,55,12,41,159,149,89,84,123,219,236,141
6,1,47,12,65,147,47,110,88,141,250,105,141
7,2,40,12,118,113,96,89,84,4,215,69,141
8,1,39,47,6,167,187,2,84,11,89,11,141
9,2,26,47,150,17,146,118,30,213,195,230,141
10,1,54,47,57,64,83,89,84,123,219,236,141
11,2,53,47,69,169,92,129,35,31,205,114,141
12,1,25,4,6,167,187,2,84,64,157,173,141
13,2,48,4,41,159,149,89,84,213,195,173,141
14,1,53,47,96,92,106,121,84,183,5,69,141
15,2,52,47,65,147,147,123,84,84,155,173,141
16,1,58,8,6,162,174,2,84,123,219,273,141
17,2,73,8,64,44,193,89,84,213,195,191,141
18,1,60,47,57,52,83,89,84,183,5,69,141
19,2,39,47,65,147,147,27,84,31,92,264,189
20,1,57,8,118,113,96,49,84,187,227,160,141
21,2,45,8,42,80,193,129,84,141,250,206,141
22,1,61,4,125,17,146,150,30,84,155,182,141
23,2,45,4,96,92,124,89,84,11,89,11,141
24,1,27,47,65,147,16,110,105,160,67,228,211
25,2,60,47,6,162,124,89,84,4,215,69,206
26,1,45,25,41,159,149,136,84,31,92,226,227
27,2,55,25,57,137,83,33,84,64,157,155,141
28,1,36,4,96,92,106,89,84,60,250,184,141
29,2,45,4,17,164,96,89,84,84,155,173,141
30,1,40,47,20,133,146,25,30,183,5,55,62
31,2,38,47,11,147,109,110,28,10,89,12,141
32,1,58,8,41,159,149,89,84,60,250,184,141
33,2,55,8,94,76,188,49,89,64,157,267,141
34,1,50,25,6,162,62,89,84,173,92,264,141
35,2,41,25,126,123,124,89,84,160,67,249,190
36,1,45,8,42,131,97,89,84,11,89,11,222
37,2,51,8,137,133,6,18,84,187,227,236,141
38,1,47,8,96,139,152,89,84,64,157,267,152
39,2,64,8,41,159,124,89,84,113,155,97,141
40,1,41,47,6,49,124,89,84,2,74,105,141
41,2,43,47,52,164,121,89,84,213,195,228,60
42,1,49,25,126,64,83,89,84,73,11,12,141
43,2,31,25,87,133,27,25,64,173,92,173,141
44,1,50,47,154,147,124,89,84,64,157,267,141
45,2,37,47,41,159,149,4,84,183,5,60,141
46,1,38,4,96,130,163,121,100,197,219,160,196
47,2,44,4,42,131,124,89,84,113,155,173,141
48,1,26,4,149,25,73,146,89,173,92,77,141
49,2,52,4,126,64,145,89,84,60,250,184,91
50,1,34,25,96,126,163,121,100,56,195,230,141
51,2,50,25,6,49,155,89,84,113,155,97,141
52,1,48,8,42,131,193,129,84,183,5,69,141
53,2,34,8,154,147,124,89,84,197,150,236,141
54,1,50,47,41,159,7,113,84,127,97,173,141
55,2,62,47,122,139,124,89,84,64,157,267,152
56,1,41,25,0,19,156,29,84,60,250,184,165
57,2,35,25,48,128,119,101,84,11,89,259,193
58,1,50,47,6,49,124,89,84,197,219,160,141
59,2,50,47,42,169,124,89,84,56,195,230,154
60,1,36,8,85,140,121,89,84,183,5,55,141
61,2,39,8,134,143,124,89,84,2,74,184,165
62,1,53,4,122,136,163,112,84,173,92,264,141
63,2,35,4,126,64,80,108,84,127,97,173,141
64,1,43,25,137,133,2,89,84,213,69,230,172
65,2,55,25,6,49,43,117,95,11,89,259,141
66,1,47,47,41,159,124,89,84,13,219,160,141
67,2,21,47,153,44,97,129,84,64,144,188,141
68,1,50,47,48,158,121,101,26,173,92,190,141
69,2,42,47,126,64,124,89,84,60,250,184,141
70,1,35,25,137,0,124,89,84,64,176,267,141
71,2,37,25,41,159,7,78,125,196,89,12,141
72,1,28,47,122,139,158,112,84,183,5,60,141
73,2,78,47,134,143,124,89,84,127,97,173,141
74,1,51,47,126,64,124,89,84,123,219,194,141
75,2,38,47,69,102,195,129,84,76,205,114,141
76,1,48,4,41,159,149,89,84,56,195,189,141
77,2,71,4,6,150,62,89,84,64,157,155,141
78,1,27,8,137,0,156,29,81,183,5,60,141
79,2,68,8,134,143,147,32,84,196,89,11,141
80,1,68,47,41,159,124,89,84,173,92,264,141
81,2,73,47,126,64,196,63,32,64,176,2,225
82,1,51,8,42,131,124,89,84,218,172,105,141
83,2,23,8,48,158,121,49,26,197,150,173,141
84,1,57,4,134,143,47,89,84,56,67,271,172
85,2,32,4,6,150,141,152,63,4,60,55,175
86,1,35,8,137,99,156,25,84,113,155,173,141
87,2,43,8,96,139,124,89,84,196,89,12,13
88,1,41,4,52,15,164,89,84,64,176,267,141
89,2,71,4,41,159,124,89,84,60,250,184,91
90,1,32,25,137,99,156,89,84,197,150,244,141
91,2,42,25,42,131,176,129,84,11,89,11,222
92,1,43,8,126,64,94,89,84,183,5,266,141
93,2,68,8,134,143,51,89,84,173,92,264,141
94,1,23,47,52,140,183,101,84,113,155,173,141
95,2,44,47,96,139,124,89,84,60,172,1,91
96,1,42,4,6,49,124,89,84,173,239,216,141
97,2,74,4,126,67,124,89,84,160,69,271,192
98,1,60,4,134,143,124,89,84,64,34,155,229
99,2,56,4,41,159,149,78,84,183,5,5,62
100,1,67,8,42,131,124,89,84,113,155,97,141
101,2,65,8,96,139,158,89,84,197,247,160,157
102,1,46,25,17,164,183,89,84,56,195,230,211
103,2,33,25,6,162,62,104,84,60,250,184,141
104,1,47,8,126,64,83,89,84,207,89,40,141
105,2,51,8,137,133,42,29,84,76,205,216,141
106,1,29,8,134,143,124,89,84,197,219,194,234
107,2,36,8,64,131,193,129,84,183,5,55,141
108,1,26,47,6,49,155,152,84,113,155,173,141
109,2,44,47,96,139,158,89,84,160,69,249,141
110,1,58,4,42,131,124,89,84,64,157,267,141
111,2,28,4,41,159,149,78,124,197,219,160,141
112,1,35,25,126,64,83,155,33,112,137,165,141
113,2,35,25,96,130,158,89,84,76,205,216,227
114,1,42,8,96,130,158,89,84,197,219,160,234
115,2,41,8,91,131,92,89,84,113,155,173,141
116,1,40,4,134,143,149,89,84,127,229,0,141
117,2,40,4,96,136,111,0,84,181,250,60,141
118,1,29,8,50,76,89,110,89,13,126,160,141
119,2,14,8,42,131,125,139,84,141,74,206,141
120,1,67,25,113,65,124,89,84,55,21,188,229
121,2,58,25,41,159,124,89,84,76,246,265,227
122,1,21,47,20,24,156,18,0,62,195,84,141
123,2,37,47,6,49,187,104,84,11,89,173,141
124,1,68,8,96,92,124,89,84,141,74,105,165
125,2,46,8,94,59,147,65,84,127,129,97,141
126,1,46,4,113,65,66,89,84,73,12,154,141
127,2,60,4,20,24,27,89,84,76,246,265,141
128,1,62,25,6,49,187,89,84,141,74,105,141
129,2,31,25,50,59,147,59,84,62,195,84,141
130,1,59,8,41,1,184,141,84,107,155,97,1
131,2,61,8,96,92,158,89,84,55,5,22,152
132,1,54,47,42,108,142,153,84,73,30,11,141
133,2,38,47,27,17,95,89,84,216,15,173,141
134,1,49,4,50,125,73,59,89,161,92,272,141
135,2,44,4,113,65,124,89,84,141,180,105,165
136,1,55,8,6,49,124,89,84,181,250,60,71
137,2,50,8,134,143,76,89,84,62,195,84,141
138,1,45,25,52,71,147,65,84,55,5,188,141
139,2,43,25,41,159,178,4,84,154,180,105,141
140,1,38,47,113,67,196,89,84,104,15,160,234
141,2,32,47,123,44,142,153,7,162,92,272,227
142,1,62,8,96,136,111,89,84,62,195,68,232
143,2,69,8,6,49,187,89,84,107,155,97,122
144,1,61,4,134,143,124,89,84,73,12,231,141
145,2,47,4,20,24,27,118,84,218,212,60,71
146,1,42,47,41,159,7,141,84,13,126,160,141
147,2,33,47,109,44,153,94,84,55,5,188,141
148,1,45,10,20,19,32,118,84,101,191,194,148
149,2,46,10,52,140,124,89,84,73,11,148,46
150,1,26,40,113,65,83,155,84,218,212,83,55
151,2,23,40,134,129,168,51,28,76,240,216,233
152,1,37,40,6,49,4,104,84,55,5,188,141
153,2,41,40,41,159,7,141,84,62,195,252,141
154,1,40,10,96,92,158,112,84,13,247,173,141
155,2,38,10,109,44,153,102,84,174,97,101,141
156,1,40,40,134,143,65,8,84,73,12,144,120
157,2,26,40,27,133,27,81,84,218,79,83,198
158,1,38,40,50,112,164,49,84,76,240,272,141
159,2,35,40,155,65,124,89,84,141,103,99,141
160,1,39,10,45,3,4,89,84,216,150,207,199
161,2,30,10,42,131,93,91,93,62,195,68,141
162,1,53,10,71,92,158,89,84,55,5,188,141
163,2,49,10,41,29,7,141,84,81,206,173,141
164,1,28,10,20,24,27,89,84,162,92,272,228
165,2,51,10,120,67,160,33,84,73,12,47,13
166,1,25,10,134,143,16,51,28,141,103,58,141
167,2,51,10,52,164,147,89,84,218,60,238,21
168,1,53,40,71,92,124,89,84,157,195,68,169
169,2,52,40,6,162,62,104,34,81,206,139,141
170,1,57,40,93,44,124,89,84,162,92,226,233
171,2,29,40,120,65,83,122,32,6,214,273,196
172,1,54,10,81,17,124,89,84,55,5,2,152
173,2,57,10,41,29,124,89,84,73,12,154,43
174,1,37,10,6,49,177,104,84,181,72,83,55
175,2,41,10,134,143,76,98,84,157,195,84,61
176,1,29,10,52,164,147,101,128,6,136,160,114
177,2,31,10,42,103,93,89,84,141,103,58,141
178,1,57,10,117,136,111,89,84,76,205,272,227
179,2,53,10,120,65,160,89,84,81,206,165,122
180,1,30,10,65,62,134,128,84,55,5,188,141
181,2,36,10,41,29,124,89,84,181,72,173,141
182,1,52,10,6,49,177,89,84,31,92,226,141
183,2,45,10,120,137,83,155,84,157,195,252,169
184,1,34,48,42,103,153,89,84,81,206,139,87
185,2,37,48,71,92,158,89,84,216,7,236,199
186,1,46,48,134,143,16,89,84,86,188,3,141
187,2,39,48,52,158,147,65,84,58,212,60,141
188,1,37,48,20,19,156,81,135,4,68,188,141
189,2,47,48,41,29,124,89,84,73,143,11,205
190,1,42,48,141,3,141,89,84,111,150,273,196
191,2,30,48,42,131,93,91,84,160,242,8,141
192,1,38,48,20,133,17,29,84,154,103,173,141
193,2,46,48,50,59,124,89,84,73,40,11,17
194,1,51,10,120,137,66,53,136,181,72,60,141
195,2,42,10,134,31,16,128,84,31,92,226,153
196,1,56,40,41,29,178,89,84,160,242,8,214
197,2,50,40,141,3,141,26,84,4,68,188,141
198,1,52,40,71,92,158,83,84,2,188,184,91
199,2,33,40,115,59,137,65,128,81,206,139,141
200,1,42,40,109,44,124,89,84,58,212,60,95
201,2,26,40,30,170,16,128,116,216,150,236,197
202,1,38,40,41,159,178,4,84,31,92,190,189
203,2,37,40,120,137,94,155,52,4,176,155,141
204,1,49,48,134,31,76,89,84,81,206,173,141
205,2,35,48,96,136,111,112,84,181,72,60,141
206,1,31,48,20,133,27,89,84,157,195,8,141
207,2,50,48,6,49,124,89,84,73,156,148,43
208,1,39,48,120,137,94,155,52,157,195,8,141
209,2,46,48,6,49,177,2,84,31,92,226,174
210,1,35,26,41,159,7,141,84,123,7,236,141
211,2,24,26,109,44,126,46,84,4,68,22,126
212,1,54,1,96,46,124,89,84,11,30,11,120
213,2,56,1,20,133,27,89,84,81,206,150,141
214,1,37,1,41,159,98,4,84,141,103,35,141
215,2,27,1,115,59,137,89,84,4,21,155,141
216,1,46,26,93,119,153,90,44,35,53,12,13
217,2,29,26,20,133,194,18,30,123,7,173,141
218,1,50,26,43,105,158,89,84,31,92,216,189
219,2,29,26,120,137,94,89,84,127,229,150,159
220,1,30,1,134,62,168,85,84,55,21,188,141
221,2,60,1,41,29,184,89,84,181,72,208,141
222,1,33,1,52,90,140,89,84,157,195,8,141
223,2,64,1,6,49,124,89,84,2,103,184,168
224,1,49,26,41,29,184,141,84,157,195,191,141
225,2,84,26,6,49,4,89,84,55,5,188,218
226,1,52,26,96,92,124,89,84,141,103,206,2
227,2,59,26,52,90,140,101,84,81,155,229,141
228,1,31,23,6,154,62,2,84,2,172,105,165
229,2,36,23,52,90,140,89,84,157,195,8,141
230,1,38,47,80,133,31,18,86,213,195,117,141
231,2,62,47,6,162,124,89,84,44,89,144,120
232,1,69,47,134,143,18,89,84,13,221,135,9
233,2,39,47,42,103,5,89,84,218,184,238,19
234,1,44,23,113,96,83,155,84,55,144,188,141
235,2,39,23,41,159,178,4,84,76,205,173,141
236,1,24,47,52,140,109,146,84,44,89,17,120
237,2,61,47,21,91,124,89,84,141,103,71,2
238,1,57,47,6,162,62,2,84,81,206,150,159
239,2,34,47,71,92,158,112,46,213,192,215,154
240,1,47,23,123,44,126,153,84,119,68,2,141
241,2,60,23,41,159,178,4,84,13,221,160,141
242,1,50,23,113,96,124,89,84,141,74,105,141
243,2,61,23,79,59,124,89,84,76,205,272,141
244,1,31,47,71,92,158,89,84,178,89,17,117
245,2,45,47,21,133,110,150,86,81,155,139,141
246,1,67,47,134,143,18,89,84,55,144,188,185
247,2,56,47,142,159,7,89,84,218,212,60,101
248,1,31,23,93,88,50,89,84,141,74,206,91
249,2,59,23,79,59,124,89,84,123,136,237,141
