,ID,innings,total_run,Venue,batter1,batter2,batter3,batter4,batter5,bowler1,bowler2,bowler3,bowler4
0,1312200,1,61,"Narendra Modi Stadium, Ahmedabad",SC Ganguly,BB McCullum,RT Ponting,NA,NA,P Kumar,Z Khan,AA Noffke,NA
1,1312200,2,26,"Narendra Modi Stadium, Ahmedabad",R Dravid,W Jaffer,V Kohli,JH Kallis,CL White,AB Dinda,I Sharma,AB Agarkar,NA
2,1312199,1,53,"Narendra Modi Stadium, Ahmedabad",PA Patel,ML Hayden,MEK Hussey,NA,NA,B Lee,S Sreesanth,JR Hopes,NA
3,1312199,2,63,"Narendra Modi Stadium, Ahmedabad",K Goel,JR Hopes,NA,NA,NA,JDP Oram,MS Gony,NA,NA
4,1312198,1,40,"Eden Gardens, Kolkata",T Kohli,YK Pathan,SR Watson,M Kaif,NA,GD McGrath,B Geeves,MF Maharoof,NA
5,1312198,2,55,"Eden Gardens, Kolkata",G Gambhir,V Sehwag,S Dhawan,NA,NA,MM Patel,SR Watson,SK Trivedi,NA
6,1312197,1,47,"Eden Gardens, Kolkata",L Ronchi,ST Jayasuriya,DJ Thornely,RV Uthappa,PR Shah,P Kumar,Z Khan,JH Kallis,NA
7,1312197,2,40,"Eden Gardens, Kolkata",S Chanderpaul,R Dravid,LRPL Taylor,NA,NA,A Nehra,SM Pollock,DS Kulkarni,NA
8,1304116,1,39,"Wankhede Stadium, Mumbai",AC Gilchrist,Y Venugopal Rao,VVS Laxman,A Symonds,NA,AB Dinda,I Sharma,AB Agarkar,NA
9,1304116,2,26,"Wankhede Stadium, Mumbai",WP Saha,BB McCullum,RT Ponting,SC Ganguly,DJ Hussey,WPUJC Vaas,RP Singh,SB Styris,NA
10,1304115,1,54,"Wankhede Stadium, Mumbai",K Goel,JR Hopes,KC Sangakkara,NA,NA,MM Patel,SR Watson,SK Trivedi,NA
11,1304115,2,53,"Wankhede Stadium, Mumbai",M Kaif,YK Pathan,Kamran Akmal,SR Watson,DS Lehmann,B Lee,S Sreesanth,JR Hopes,NA
12,1304114,1,25,"Brabourne Stadium, Mumbai",AC Gilchrist,Y Venugopal Rao,VVS Laxman,A Symonds,NA,GD McGrath,Mohammad Asif,NA,NA
13,1304114,2,48,"Brabourne Stadium, Mumbai",G Gambhir,V Sehwag,S Dhawan,NA,NA,WPUJC Vaas,RP Singh,NA,NA
14,1304113,1,53,"Wankhede Stadium, Mumbai",PA Patel,ML Hayden,MEK Hussey,SK Raina,NA,SM Pollock,A Nehra,DS Kulkarni,NA
15,1304113,2,52,"Wankhede Stadium, Mumbai",L Ronchi,ST Jayasuriya,RV Uthappa,SM Pollock,NA,JDP Oram,MS Gony,NA,NA
16,1304112,1,58,"Dr DY Patil Sports Academy, Mumbai",AC Gilchrist,VVS Laxman,Shahid Afridi,A Symonds,NA,MM Patel,SR Watson,YK Pathan,NA
17,1304112,2,73,"Dr DY Patil Sports Academy, Mumbai",Kamran Akmal,GC Smith,YK Pathan,NA,NA,WPUJC Vaas,RP Singh,PP Ojha,NA
18,1304111,1,60,"Wankhede Stadium, Mumbai",K Goel,IK Pathan,KC Sangakkara,NA,NA,SM Pollock,A Nehra,DS Kulkarni,NA
19,1304111,2,39,"Wankhede Stadium, Mumbai",L Ronchi,ST Jayasuriya,RV Uthappa,DJ Bravo,NA,B Lee,IK Pathan,VRV Singh,S Sreesanth
20,1304110,1,57,"Dr DY Patil Sports Academy, Mumbai",S Chanderpaul,R Dravid,LRPL Taylor,JH Kallis,NA,SR Watson,Sohail Tanvir,MM Patel,NA
21,1304110,2,45,"Dr DY Patil Sports Academy, Mumbai",GC Smith,M Rawat,YK Pathan,SR Watson,NA,P Kumar,Z Khan,R Vinay Kumar,NA
22,1304109,1,61,"Brabourne Stadium, Mumbai",SC Ganguly,BB McCullum,RT Ponting,WP Saha,DJ Hussey,JDP Oram,MS Gony,P Amarnath,NA
23,1304109,2,45,"Brabourne Stadium, Mumbai",PA Patel,ML Hayden,NA,NA,NA,AB Dinda,I Sharma,AB Agarkar,NA
24,1304108,1,27,"Wankhede Stadium, Mumbai",L Ronchi,ST Jayasuriya,AM Rahane,RV Uthappa,SM Pollock,RP Singh,DNT Zoysa,SB Bangar,Shahid Afridi
25,1304108,2,60,"Wankhede Stadium, Mumbai",AC Gilchrist,VVS Laxman,NA,NA,NA,A Nehra,SM Pollock,DS Kulkarni,ST Jayasuriya
26,1304107,1,45,"Maharashtra Cricket Association Stadium, Pune",G Gambhir,V Sehwag,S Dhawan,Shoaib Malik,NA,B Lee,IK Pathan,S Sreesanth,VRV Singh
27,1304107,2,55,"Maharashtra Cricket Association Stadium, Pune",K Goel,SM Katich,KC Sangakkara,DPMD Jayawardene,NA,GD McGrath,Mohammad Asif,MF Maharoof,NA
28,1304106,1,36,"Brabourne Stadium, Mumbai",PA Patel,ML Hayden,MEK Hussey,NA,NA,DW Steyn,Z Khan,P Kumar,NA
29,1304106,2,45,"Brabourne Stadium, Mumbai",B Chipli,W Jaffer,LRPL Taylor,NA,NA,JDP Oram,MS Gony,NA,NA
30,1304105,1,40,"Wankhede Stadium, Mumbai",BB McCullum,SC Ganguly,RT Ponting,DB Das,DJ Hussey,SM Pollock,A Nehra,CRD Fernando,DS Kulkarni
31,1304105,2,38,"Wankhede Stadium, Mumbai",AM Rahane,ST Jayasuriya,MK Pandey,RV Uthappa,DJ Bravo,AB Agarkar,I Sharma,AB Dinda,NA
32,1304104,1,58,"Dr DY Patil Sports Academy, Mumbai",G Gambhir,V Sehwag,S Dhawan,NA,NA,DW Steyn,Z Khan,P Kumar,NA
