,ID,Innings,Venue,batsman1,batsman2,batsman3,batsman4,batsman5,batsman6,bowler1,bowler2,bowler3,bowler4,bowler5,tot_runs,batsman1_strike_rate,batsman1_batting_avg,batsman2_strike_rate,batsman2_batting_avg,batsman3_strike_rate,batsman3_batting_avg,batsman4_strike_rate,batsman4_batting_avg,batsman5_strike_rate,batsman5_batting_avg,batsman6_strike_rate,batsman6_batting_avg,bowler1_economy,bowler1_bowling_avg,bowler2_economy,bowler2_bowling_avg,bowler3_economy,bowler3_bowling_avg,bowler4_economy,bowler4_bowling_avg,bowler5_economy,bowler5_bowling_avg
0,1312200,1,"Narendra Modi Stadium, Ahmedabad",YBK Jaiswal,SV Samson,JC Buttler,NA,NA,NA,LH Ferguson,Yash Dayal,Rashid Khan,Mohammed Shami,NA,44,115.0545237057554,30.5,105.5171190834352,30.272727272727277,125.41178130297332,49.2,0,0,0,0,0,0,8.055555555555555,19.33333333333333,9.333333333333334,28.0,7.857142857142857,30.55555555555556,7.651933701657459,47.75862068965517,0,0
1,1312200,2,"Narendra Modi Stadium, Ahmedabad",Shubman Gill,MS Wade,WP Saha,HH Pandya,NA,NA,TA Boult,M Prasidh Krishna,YS Chahal,NA,NA,31,110.46081606291246,40.09090909090909,104.71890682417,22.6,113.21910425644934,27.77142857142857,77.02075702075702,31.0,0,0,0,0,7.2988505747126435,31.75,8.170454545454545,47.93333333333333,8.03076923076923,32.625,0,0,0,0
2,1312199,1,"Narendra Modi Stadium, Ahmedabad",RM Patidar,F du Plessis,V Kohli,NA,NA,NA,TA Boult,M Prasidh Krishna,NA,NA,NA,46,84.65920190920191,53.5,112.06102799701122,43.52941176470589,101.37329644052625,37.45614035087719,0,0,0,0,0,0,7.2988505747126435,31.75,8.170454545454545,47.93333333333333,0,0,0,0,0,0
3,1312199,2,"Narendra Modi Stadium, Ahmedabad",YBK Jaiswal,SV Samson,JC Buttler,NA,NA,NA,Mohammed Siraj,JR Hazlewood,GJ Maxwell,Shahbaz Ahmed,NA,67,115.0545237057554,30.5,105.5171190834352,30.272727272727277,125.41178130297332,49.2,0,0,0,0,0,0,8.808080808080808,41.523809523809526,7.452830188679245,32.916666666666664,9.0,45.0,8.923076923076923,116.0,0,0
4,1312198,1,"Eden Gardens, Kolkata",RM Patidar,F du Plessis,V Kohli,NA,NA,NA,Avesh Khan,Mohsin Khan,KH Pandya,PVD Chameera,NA,52,84.65920190920191,53.5,112.06102799701122,43.52941176470589,101.37329644052625,37.45614035087719,0,0,0,0,0,0,8.275862068965518,30.0,5.5625,14.833333333333334,7.524590163934426,35.30769230769231,8.416666666666666,28.857142857142858,0,0
5,1312198,2,"Eden Gardens, Kolkata",Q de Kock,KL Rahul,M Vohra,DJ Hooda,NA,NA,Mohammed Siraj,JR Hazlewood,Shahbaz Ahmed,NA,NA,62,114.36517255005649,37.13636363636363,112.9144170865236,57.142857142857146,109.75673993932396,28.375,94.33643279797124,89.0,0,0,0,0,8.808080808080808,41.523809523809526,7.452830188679245,32.916666666666664,8.923076923076923,116.0,0,0,0,0
6,1312197,1,"Eden Gardens, Kolkata",YBK Jaiswal,SV Samson,JC Buttler,NA,NA,NA,Yash Dayal,Mohammed Shami,AS Joseph,NA,NA,55,115.0545237057554,30.5,105.5171190834352,30.272727272727277,125.41178130297332,49.2,0,0,0,0,0,0,9.333333333333334,28.0,7.651933701657459,47.75862068965517,9.923076923076923,64.5,0,0,0,0
7,1312197,2,"Eden Gardens, Kolkata",Shubman Gill,MS Wade,WP Saha,NA,NA,NA,R Ashwin,TA Boult,M Prasidh Krishna,NA,NA,64,110.46081606291246,40.09090909090909,104.71890682417,22.6,113.21910425644934,27.77142857142857,0,0,0,0,0,0,6.721590909090909,25.717391304347824,7.2988505747126435,31.75,8.170454545454545,47.93333333333333,0,0,0,0
8,1304116,1,"Wankhede Stadium, Mumbai",RA Tripathi,Abhishek Sharma,PK Garg,NA,NA,NA,K Rabada,NT Ellis,Arshdeep Singh,LS Livingstone,NA,43,121.82450138036552,33.869565217391305,116.19602491806438,42.57142857142857,85.43956043956044,20.5,0,0,0,0,0,0,8.195876288659793,31.8,7.0,35.0,8.280701754385966,31.466666666666665,5.0,10.0,0,0
9,1304116,2,"Wankhede Stadium, Mumbai",S Dhawan,M Shahrukh Khan,JM Bairstow,NA,NA,NA,J Suchith,Washington Sundar,B Kumar,Fazalhaq Farooqi,NA,62,108.27256295114648,38.036144578313255,71.42857142857143,15.0,127.58245210860524,49.642857142857146,0,0,0,0,0,0,8.666666666666666,34.666666666666664,7.43859649122807,35.333333333333336,6.171821305841925,32.654545454545456,5.8,29.0,0,0
10,1304115,1,"Wankhede Stadium, Mumbai",DA Warner,PP Shaw,MR Marsh,SN Khan,RR Pant,NA,DR Sams,JJ Bumrah,HR Shokeen,NA,NA,37,113.20491191289184,45.21875,123.27105957556392,29.710526315789476,114.64318064182194,38.333333333333336,130.08658008658008,25.0,105.8238591119026,52.0,0,0,7.133333333333334,26.75,6.858064516129033,34.29032258064516,6.5,26.0,0,0,0,0
11,1304115,2,"Wankhede Stadium, Mumbai",D Brevis,RG Sharma,Ishan Kishan,NA,NA,NA,KK Ahmed,MR Marsh,A Nortje,SN Thakur,NA,27,108.97402597402598,32.5,96.96599230179808,30.25925925925926,97.1470798503979,56.583333333333336,0,0,0,0,0,0,8.203125,32.8125,8.928571428571429,31.25,7.882352941176471,26.8,8.724137931034482,36.142857142857146,0,0
12,1304114,1,"Brabourne Stadium, Mumbai",MM Ali,RD Gaikwad,DP Conway,NA,NA,NA,R Ashwin,TA Boult,M Prasidh Krishna,NA,NA,75,83.59589314194577,26.857142857142858,93.97268274792168,34.8,89.7013366750209,28.33333333333333,0,0,0,0,0,0,6.721590909090909,25.717391304347824,7.2988505747126435,31.75,8.170454545454545,47.93333333333333,0,0,0,0
13,1304114,2,"Brabourne Stadium, Mumbai",YBK Jaiswal,SV Samson,JC Buttler,NA,NA,NA,Mukesh Choudhary,Simarjeet Singh,NA,NA,NA,52,115.0545237057554,30.5,105.5171190834352,30.272727272727277,125.41178130297332,49.2,0,0,0,0,0,0,8.5625,24.90909090909091,8.466666666666667,42.333333333333336,0,0,0,0,0,0
14,1304113,1,"Wankhede Stadium, Mumbai",Shubman Gill,MS Wade,WP Saha,HH Pandya,NA,NA,Shahbaz Ahmed,GJ Maxwell,JR Hazlewood,S Kaul,NA,38,110.46081606291246,40.09090909090909,104.71890682417,22.6,113.21910425644934,27.77142857142857,77.02075702075702,31.0,0,0,0,0,8.923076923076923,116.0,9.0,45.0,7.452830188679245,32.916666666666664,9.155172413793103,44.25,0,0
15,1304113,2,"Wankhede Stadium, Mumbai",F du Plessis,V Kohli,NA,NA,NA,NA,Yash Dayal,Rashid Khan,Mohammed Shami,HH Pandya,NA,55,112.06102799701122,43.52941176470589,101.37329644052625,37.45614035087719,0,0,0,0,0,0,0,0,9.333333333333334,28.0,7.857142857142857,30.55555555555556,7.651933701657459,47.75862068965517,8.513513513513514,45.0,0,0
16,1304112,1,"Dr DY Patil Sports Academy, Mumbai",Q de Kock,KL Rahul,NA,NA,NA,NA,UT Yadav,TG Southee,SP Narine,CV Varun,NA,44,114.36517255005649,37.13636363636363,112.9144170865236,57.142857142857146,0,0,0,0,0,0,0,0,7.829383886255924,31.16981132075472,7.96078431372549,47.76470588235294,6.692857142857143,39.04166666666666,7.225806451612903,37.333333333333336,0,0
17,1304112,2,"Dr DY Patil Sports Academy, Mumbai",SS Iyer,VR Iyer,A Tomar,N Rana,NA,NA,K Gowtham,JO Holder,Mohsin Khan,Avesh Khan,NA,60,104.44867055360102,34.48,106.17361181989664,30.818181818181817,50.0,4.0,98.63062767108045,38.785714285714285,0,0,0,0,8.297297297297296,38.375,8.943396226415095,52.66666666666666,5.5625,14.833333333333334,8.275862068965518,30.0,0,0
18,1304111,1,"Wankhede Stadium, Mumbai",RA Tripathi,Abhishek Sharma,PK Garg,NA,NA,NA,DR Sams,R Sanjay Yadav,JJ Bumrah,RP Meredith,NA,57,121.82450138036552,33.869565217391305,116.19602491806438,42.57142857142857,85.43956043956044,20.5,0,0,0,0,0,0,7.133333333333334,26.75,8.0,8.0,6.858064516129033,34.29032258064516,8.214285714285714,57.5,0,0
19,1304111,2,"Wankhede Stadium, Mumbai",RG Sharma,Ishan Kishan,NA,NA,NA,NA,Washington Sundar,B Kumar,T Natarajan,Fazalhaq Farooqi,NA,51,96.96599230179808,30.25925925925926,97.1470798503979,56.583333333333336,0,0,0,0,0,0,0,0,7.43859649122807,35.333333333333336,6.171821305841925,32.654545454545456,8.121212121212121,29.77777777777778,5.8,29.0,0,0
20,1304110,1,"Dr DY Patil Sports Academy, Mumbai",DA Warner,MR Marsh,SN Khan,Lalit Yadav,NA,NA,R Dhawan,LS Livingstone,K Rabada,Harpreet Brar,Arshdeep Singh,59,113.20491191289184,45.21875,114.64318064182194,38.333333333333336,130.08658008658008,25.0,81.7948717948718,23.0,0,0,0,0,7.823529411764706,33.25,5.0,10.0,8.195876288659793,31.8,10.428571428571429,73.0,8.280701754385966,31.466666666666665
