,ID,innings,total_run,batters,bowlers,Venue
0,1312200,1,61,['SC Ganguly' 'BB McCullum' 'RT Ponting'],['P Kumar' 'Z Khan' 'AA Noffke'],"Narendra Modi Stadium, Ahmedabad"
1,1312200,2,26,['R Dravid' 'W Jaffer' 'V Kohli' 'JH Kallis' 'CL White' 'MV Boucher'],['AB Dinda' 'I Sharma' 'AB Agarkar'],"Narendra Modi Stadium, Ahmedabad"
2,1312199,1,53,['PA Patel' 'ML Hayden' 'MEK Hussey'],['B Lee' 'S Sreesanth' 'JR Hopes'],"Narendra Modi Stadium, Ahmedabad"
3,1312199,2,63,['K Goel' 'JR Hopes'],['JDP Oram' 'MS Gony'],"Narendra Modi Stadium, Ahmedabad"
4,1312198,1,40,['T Kohli' 'YK Pathan' 'SR Watson' 'M Kaif'],['GD McGrath' 'B Geeves' 'MF Maharoof'],"Eden Gardens, Kolkata"
5,1312198,2,55,['G Gambhir' 'V Sehwag' 'S Dhawan'],['MM Patel' 'SR Watson' 'SK Trivedi'],"Eden Gardens, Kolkata"
6,1312197,1,47,['L Ronchi' 'ST Jayasuriya' 'DJ Thornely' 'RV Uthappa' 'PR Shah'],['P Kumar' 'Z Khan' 'JH Kallis'],"Eden Gardens, Kolkata"
7,1312197,2,40,['S Chanderpaul' 'R Dravid' 'LRPL Taylor'],['A Nehra' 'SM Pollock' 'DS Kulkarni'],"Eden Gardens, Kolkata"
8,1304116,1,39,['AC Gilchrist' 'Y Venugopal Rao' 'VVS Laxman' 'A Symonds'],['AB Dinda' 'I Sharma' 'AB Agarkar'],"Wankhede Stadium, Mumbai"
9,1304116,2,26,['WP Saha' 'BB McCullum' 'RT Ponting' 'SC Ganguly' 'DJ Hussey'],['WPUJC Vaas' 'RP Singh' 'SB Styris'],"Wankhede Stadium, Mumbai"
10,1304115,1,54,['K Goel' 'JR Hopes' 'KC Sangakkara'],['MM Patel' 'SR Watson' 'SK Trivedi'],"Wankhede Stadium, Mumbai"
11,1304115,2,53,['M Kaif' 'YK Pathan' 'Kamran Akmal' 'SR Watson' 'DS Lehmann'],['B Lee' 'S Sreesanth' 'JR Hopes'],"Wankhede Stadium, Mumbai"
12,1304114,1,25,['AC Gilchrist' 'Y Venugopal Rao' 'VVS Laxman' 'A Symonds'],['GD McGrath' 'Mohammad Asif'],"Brabourne Stadium, Mumbai"
13,1304114,2,48,['G Gambhir' 'V Sehwag' 'S Dhawan'],['WPUJC Vaas' 'RP Singh'],"Brabourne Stadium, Mumbai"
14,1304113,1,53,['PA Patel' 'ML Hayden' 'MEK Hussey' 'SK Raina'],['SM Pollock' 'A Nehra' 'DS Kulkarni'],"Wankhede Stadium, Mumbai"
15,1304113,2,52,['L Ronchi' 'ST Jayasuriya' 'RV Uthappa' 'SM Pollock'],['JDP Oram' 'MS Gony'],"Wankhede Stadium, Mumbai"
16,1304112,1,58,['AC Gilchrist' 'VVS Laxman' 'Shahid Afridi' 'A Symonds'],['MM Patel' 'SR Watson' 'YK Pathan'],"Dr DY Patil Sports Academy, Mumbai"
17,1304112,2,73,['Kamran Akmal' 'GC Smith' 'YK Pathan'],['WPUJC Vaas' 'RP Singh' 'PP Ojha'],"Dr DY Patil Sports Academy, Mumbai"
18,1304111,1,60,['K Goel' 'IK Pathan' 'KC Sangakkara'],['SM Pollock' 'A Nehra' 'DS Kulkarni'],"Wankhede Stadium, Mumbai"
19,1304111,2,39,['L Ronchi' 'ST Jayasuriya' 'RV Uthappa' 'DJ Bravo'],['B Lee' 'IK Pathan' 'VRV Singh' 'S Sreesanth'],"Wankhede Stadium, Mumbai"
20,1304110,1,57,['S Chanderpaul' 'R Dravid' 'LRPL Taylor' 'JH Kallis'],['SR Watson' 'Sohail Tanvir' 'MM Patel'],"Dr DY Patil Sports Academy, Mumbai"
21,1304110,2,45,['GC Smith' 'M Rawat' 'YK Pathan' 'SR Watson'],['P Kumar' 'Z Khan' 'R Vinay Kumar'],"Dr DY Patil Sports Academy, Mumbai"
22,1304109,1,61,['SC Ganguly' 'BB McCullum' 'RT Ponting' 'WP Saha' 'DJ Hussey'],['JDP Oram' 'MS Gony' 'P Amarnath'],"Brabourne Stadium, Mumbai"
23,1304109,2,45,['PA Patel' 'ML Hayden'],['AB Dinda' 'I Sharma' 'AB Agarkar'],"Brabourne Stadium, Mumbai"
24,1304108,1,27,['L Ronchi' 'ST Jayasuriya' 'AM Rahane' 'RV Uthappa' 'SM Pollock'],['RP Singh' 'DNT Zoysa' 'SB Bangar' 'Shahid Afridi'],"Wankhede Stadium, Mumbai"
25,1304108,2,60,['AC Gilchrist' 'VVS Laxman'],['A Nehra' 'SM Pollock' 'DS Kulkarni' 'ST Jayasuriya' 'SD Chitnis'],"Wankhede Stadium, Mumbai"
