Unnamed: 0,ID,Innings,Venue,batsman1,batsman2,batsman3,batsman4,batsman5,batsman6,bowler1,bowler2,bowler3,bowler4,bowler5,tot_runs_x,batsman1_strike_rate,batsman1_batting_avg,batsman2_strike_rate,batsman2_batting_avg,batsman3_strike_rate,batsman3_batting_avg,batsman4_strike_rate,batsman4_batting_avg,batsman5_strike_rate,batsman5_batting_avg,batsman6_strike_rate,batsman6_batting_avg,bowler1_economy,bowler1_bowling_avg,bowler2_economy,bowler2_bowling_avg,bowler3_economy,bowler3_bowling_avg,bowler4_economy,bowler4_bowling_avg,bowler5_economy,bowler5_bowling_avg,tot_runs_y
0,1312200,1,"Narendra Modi Stadium, Ahmedabad",YBK Jaiswal,SV Samson,JC Buttler,,,,LH Ferguson,Yash Dayal,Rashid Khan,Mohammed Shami,,44,115.0545237057554,30.5,105.5171190834352,30.27272727272728,125.41178130297332,49.2,0.0,0.0,0.0,0.0,0.0,0.0,8.055555555555555,19.33333333333333,9.333333333333334,28.0,7.857142857142857,30.55555555555556,7.651933701657459,47.75862068965517,0.0,0.0,46.07142857142857
1,1312200,2,"Narendra Modi Stadium, Ahmedabad",Shubman Gill,MS Wade,WP Saha,HH Pandya,,,TA Boult,M Prasidh Krishna,YS Chahal,,,31,110.46081606291246,40.09090909090909,104.71890682417,22.6,113.21910425644934,27.77142857142857,77.02075702075702,31.0,0.0,0.0,0.0,0.0,7.2988505747126435,31.75,8.170454545454545,47.93333333333333,8.03076923076923,32.625,0.0,0.0,0.0,0.0,46.07142857142857
2,1312199,1,"Narendra Modi Stadium, Ahmedabad",RM Patidar,F du Plessis,V Kohli,,,,TA Boult,M Prasidh Krishna,,,,46,84.65920190920191,53.5,112.06102799701122,43.52941176470589,101.37329644052625,37.45614035087719,0.0,0.0,0.0,0.0,0.0,0.0,7.2988505747126435,31.75,8.170454545454545,47.93333333333333,0.0,0.0,0.0,0.0,0.0,0.0,46.07142857142857
3,1312199,2,"Narendra Modi Stadium, Ahmedabad",YBK Jaiswal,SV Samson,JC Buttler,,,,Mohammed Siraj,JR Hazlewood,GJ Maxwell,Shahbaz Ahmed,,67,115.0545237057554,30.5,105.5171190834352,30.27272727272728,125.41178130297332,49.2,0.0,0.0,0.0,0.0,0.0,0.0,8.808080808080808,41.523809523809526,7.452830188679245,32.916666666666664,9.0,45.0,8.923076923076923,116.0,0.0,0.0,46.07142857142857
210,1254086,1,"Narendra Modi Stadium, Ahmedabad",MA Agarwal,P Simran Singh,DJ Malan,CH Gayle,,,MP Stoinis,I Sharma,K Rabada,Avesh Khan,,39,103.50092539419524,24.163265306122447,109.9431818181818,11.0,50.0,1.0,119.72889157772649,37.0,0.0,0.0,0.0,0.0,9.5,28.5,7.308056872037914,35.04545454545455,8.195876288659793,31.8,8.275862068965518,30.0,0.0,0.0,46.07142857142857
211,1254086,2,"Narendra Modi Stadium, Ahmedabad",PP Shaw,S Dhawan,,,,,Ravi Bishnoi,CJ Jordan,Mohammed Shami,RP Meredith,,63,123.27105957556392,29.71052631578948,108.27256295114648,38.036144578313255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.23076923076923,53.5,9.842105263157896,93.5,7.651933701657459,47.75862068965517,8.214285714285714,57.5,0.0,0.0,46.07142857142857
216,1254083,1,"Narendra Modi Stadium, Ahmedabad",P Simran Singh,KL Rahul,CH Gayle,,,,DR Sams,Mohammed Siraj,KA Jamieson,,,49,109.9431818181818,11.0,112.9144170865236,57.142857142857146,119.72889157772649,37.0,0.0,0.0,0.0,0.0,0.0,0.0,7.133333333333334,26.75,8.808080808080808,41.523809523809526,8.941176470588236,38.0,0.0,0.0,0.0,0.0,46.07142857142857
217,1254083,2,"Narendra Modi Stadium, Ahmedabad",RM Patidar,D Padikkal,V Kohli,,,,Ravi Bishnoi,Mohammed Shami,RP Meredith,,,36,84.65920190920191,53.5,101.5529136002946,33.21052631578947,101.37329644052625,37.45614035087719,0.0,0.0,0.0,0.0,0.0,0.0,8.23076923076923,53.5,7.651933701657459,47.75862068965517,8.214285714285714,57.5,0.0,0.0,0.0,0.0,46.07142857142857
218,1254082,1,"Narendra Modi Stadium, Ahmedabad",Shubman Gill,RA Tripathi,N Rana,,,,AR Patel,I Sharma,K Rabada,Avesh Khan,,45,110.46081606291246,40.09090909090909,121.82450138036552,33.869565217391305,98.63062767108045,38.785714285714285,0.0,0.0,0.0,0.0,0.0,0.0,7.486111111111111,41.46153846153846,7.308056872037914,35.04545454545455,8.195876288659793,31.8,8.275862068965518,30.0,0.0,0.0,46.07142857142857
219,1254082,2,"Narendra Modi Stadium, Ahmedabad",PP Shaw,S Dhawan,,,,,M Prasidh Krishna,SP Narine,PJ Cummins,CV Varun,Shivam Mavi,67,123.27105957556392,29.71052631578948,108.27256295114648,38.036144578313255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.170454545454545,47.93333333333333,6.692857142857143,39.04166666666666,8.305555555555555,37.375,7.225806451612903,37.333333333333336,8.42,46.77777777777778,46.07142857142857
